1;Samurai Champlo;true ;https://www.youtube.com/embed/mQAfG3DgG7M
2;Jujutsu Kaisen;true ;https://www.youtube.com/embed/AWEm4tA2hMc
3;In/Spectre;true ;https://www.youtube.com/embed/t6BXm1vRkAM
4;Noragami;true ;https://www.youtube.com/embed/aZenmeRytEM
5;Haiykuu!! OP4;true ;https://www.youtube.com/embed/kDfqdmrRRSA
6;Death Parade;true ;https://www.youtube.com/embed/Ca5Tf5BDSYI
7;Baccano;true ;https://player.vimeo.com/video/6292637
8;Kekkai Sensen;true ;https://www.youtube.com/embed/j3SlUmr_T4g
9;Blend S;true ;https://www.youtube.com/embed/4wURrijamOw
10;Toradora ed2;true ;https://player.vimeo.com/video/125308434
11;GuiltyCrown op2;true ;https://www.youtube.com/embed/Hv4znGv6lzg
12;Kuroko2 op1;true ;https://www.youtube.com/embed/089nwtLOLmU
13;Umineko;true ;https://www.youtube.com/embed/EtKBs3BbHGs
14;Kagua op2;true ;https://www.youtube.com/embed/lTlzDfhPtFA
15;Beastars;true ;https://www.youtube.com/embed/bgo9dJB_icw
16;JoJo;true ;https://www.youtube.com/embed/oBiVN5T7dv8
17;Usagi Drop;true ;https://www.youtube.com/embed/N3AIT585JoE
18;Promissed;true ;https://www.youtube.com/embed/cVz9wnWcJXc
19;Kaguya 1;true ;https://www.youtube.com/embed/lTlzDfhPtFA
20;YuruCamp op;true ;https://www.youtube.com/embed/7-EwChG1WTA
21;YuruCamp end;true ;https://www.youtube.com/embed/CrTmHil72ls
22;Bunny Girl;true ;https://www.youtube.com/embed/Cr02_6XekIM
23;K-on!! end 2;true ;https://www.youtube.com/embed/4EddyigHecQ
24;Toradora op;true ;https://www.youtube.com/embed/Y3Xmzu0OtS8
25;Naruto;true ;https://www.youtube.com/embed/xRsIe1gLipY
26;Soul eater;true ;https://www.youtube.com/embed/-eYK3YP524A
27;Overlord;true ;https://www.youtube.com/embed/S9yfM5OrpKU
28;Mirai nikki;true ;https://www.youtube.com/embed/ql0NtjXIv_s
29;Dorroro;true ;https://www.youtube.com/embed/FgQR2O8PGf4
30;Psycho-pass;true ;https://www.youtube.com/embed/9StfX1p9LuY
31;Fate/zero;true ;https://www.youtube.com/embed/Hsc-t6OixSg
32;Black clover;true ;https://www.youtube.com/embed/4evV8Fr5A8U
